,id,text,time stamp
78,@DanielKahl,"A large earthquake struck near the Noto Peninsula in Toyama Prefecture central Japan at . A large tsunami warning has been issued. If you are anywhere near the Sea of Japan in the Hokuriku Region Fukui, Ishikawa, Toyama, head to higher ground immediately.",01-01-2024
85,@business,Japan issues a tsunami warning for its almost all of its western coast after a powerful earthquake with a magnitude . hit off the Noto Peninsula about km from Tokyo on Monday,01-01-2024
87,@USGS_Quakes,"Our hearts go out to residents of Japans Noto Peninsula, hit by strong shaking from a shallow km depth M. along Japans west coast. Subduction zone quakes can reach M but large shallow crustal quakes can also generate severe local shaking.",01-01-2024
88,@CNBCTV18Live,Japan downgrades Major Tsunami Warning to a Tsunami Warning for the Noto region,01-01-2024
114,@atul6622,"Huge tsunami warning issued to Noto region of Japans Ishikawa Pref. PM Kishida orders all-out efforts to grasp quake damage, take necessary relief measures Ishikawa Earthquake Earthquake Intensity Tsunami Earthquake Noto Ishikawa Tokyo Japan Earthquke",01-01-2024
272,@frankhcosv,"ULTIMAHORA Danos de consideracion en Noto, Japon debido al fuerte Terremoto de , grados en Japon Hubo sismos en minutos, hay alerta de tsunami, generaron incendios y masivos cortes de energia, ademas dejaron atrapadas al menos a seis personas. SismoJapon",01-01-2024
277,@Top_Disaster,"Heavy damage aftermath the strong . Magnitude earthquake that hit in Noto peninsula, Japan .. TELEGRAM JOIN",01-01-2024
279,@robotopia,"The Noto Peninsula, site of todays powerful quake in Japan, has long been producing exquisite lacquerware like these cups I photographed in Wajima last July. At least one lacquerware warehouse has been destroyed, according to media reports",01-01-2024
298,@DrLucyJones,"The New Years Day M. in Japan caused strong shaking for many people, but because of strong, enforced building codes in Japan, the damage is much less than it could have been. The people on the Noto peninsula will have been hit the hardest. This thread explains more",01-01-2024
304,@Rainmaker1973,Effect of the earthquake that hit Central Japan today roads cracking and pavements rising. mmmin,01-01-2024
332,@MarioNawfal,"JUST IN JAPAN HAD OVER EARTHQUAKES IN TWO HOURS Noto, Ishikawa Prefecture - ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., . Off the Coast of Noto Peninsula - ., ., ., ., .,",01-01-2024
333,@karinamichelin,"Um terremoto de magnitude , atingiu o oeste do Japao na tarde de segunda-feira, de janeiro , desencadeando um alerta de tsunami e um alerta oficial aos residentes para evacuarem as areas costeiras afetadas o mais rapido possivel. O terremoto ocorreu as h. hora local,",01-01-2024
334,@SinarOnline,Video tular menunjukkan ruang letak kereta bergegar kuat selepas Semenanjung Noto di Ishikawa dilanda gempa bumi . pada skala Richter pada Isnin. SinarHarian SinarTerkini Jepun Gempa Tsunami Ishikawa,01-01-2024
335,@Fa1ryNight,"Yabai que voces tanto escutam significa perigoperigoso. Pra voces terem uma ideia de como esta sendo o terremoto na regiao de Noto, provincia de Ishikawa, ja sao tremores desde o o ocorrido as hs Na sequencia os prints.",01-01-2024
336,@mondoterremoti,"Alle italiane, le locali, un violento terremoto di magnitudo . si e verificato nellestremita settentrionale della penisola di Noto, in Giappone. La scossa ha causato numerosi danni, innescato alcune frane e un prodotto un importante tsunami",01-01-2024
337,@Otaku_Anime_Ind,"Jepang diguncang gempa berkekuatan magnitudo , pada hari pertama . Badan Meteorologi dan Geofisika Jepang mengeluarkan peringatan tsunami hingga lima meter, peringatan tsunami itu dikeluarkan untuk sepanjang pantai barat di prefektur Ishikawa, Niigata, dan Toyama",01-01-2024
338,@mrjeffu,"Video of the earthquake as it was experienced in Nagano, which is quite far from the epicenter of the earthquake that hit the Noto peninsula today.",01-01-2024
340,@mrjeffu,"Video of the aftermath of the earthquake that just hit Japans Noto peninsula, shared by someone who works for the Matsunami Sake brewery",01-01-2024
341,@nexta_tv,Several earthquakes of up to . magnitude have struck Japan A tsunami threat has been announced on the countrys west coast.,01-01-2024
342,@Top_Disaster,"Moment of the strong . M earthquake in Noto of Ishikawa, Japan .. TELEGRAM JOIN",01-01-2024
343,@imAdityaRathore,.-magnitude earthquake hits western Japan. Tsunami warnings have been issued. The quake occurred at JST in Noto area. Government said they are checking for any irregularities at nuclear power plants. Japan earthquakes japanese japannews biden,01-01-2024
345,@MyLordBebo,"Details about the powerful . magnitude earthquake in Japan. Local media write that mass evacuation is underway on the west coast of the country due to the threat of a tsunami. Waves over . meters high have already reached the Noto Peninsula, where a five-meter tsunami",01-01-2024
346,@WeatherWupk,"JUST IN JAPAN HAD OVER EARTHQUAKES IN TWO HOURS Noto, Ishikawa Prefecture - ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., . Off the Coast of Noto Peninsula - ., ., ., ., .,",01-01-2024
347,@Marchfoward,"TERKINI Gempa bumi berlaku lagi berhampiran Semenanjung Noto, Jepun",01-01-2024
