text,date
prayers turkey syria lebanon may allah help protect affected buildings continue collapse due aftershocks powerful,2023-02-06 13:08:28+00:00
least aftershocks magnitude children miraculously pulled alive rubble city kahramanmarash,2023-02-06 13:08:29+00:00
caring nature,2023-02-06 13:08:29+00:00
sad erdogan needed earthquake humble himselffinally requesting help western countries constantly provoked threatenedi hope horrible experience really change mindset onour goes people,2023-02-06 13:08:30+00:00
hits turkeye simultaneously,2023-02-06 13:08:30+00:00
read appealnow death toll,2023-02-06 13:08:32+00:00
pray turkey syria palestine,2023-02-06 13:08:37+00:00
implementation hh amir directives first flights air bridge qatar turkey launches,2023-02-06 13:08:39+00:00
scary footage earthquake turkey may allah protect,2023-02-06 13:08:41+00:00
pam saddened major hit causing loss people thousands injured pam expresses solidarity countries offers support facilitating mobilisation international assistance,2023-02-06 13:08:51+00:00
everyone please donate help people turkey got hit another magnitude earthquake please try help least rt reach people donate via link,2023-02-06 13:08:52+00:00
turkey needs help,2023-02-06 13:08:52+00:00
horrific scenesthe world unite help turkey time crisis tragedyprayers people animals affected back back high intensity earthquakethe visuals terrifying,2023-02-06 13:08:53+00:00
thinking victims wishing prompt recovery local communities,2023-02-06 13:09:03+00:00
may allah almighty protect people turkey ameen,2023-02-06 13:09:06+00:00
deeply saddened news massive earthquake may allah mercy deceased help affected catastrophe,2023-02-06 13:09:08+00:00
im still trying reach friends amp families region hope international rescue support could reach cities amp towns soon possible,2023-02-06 13:09:10+00:00
hatayspor forward cristian atsuand director taner savut left rubble earthquake trkiye,2023-02-06 13:09:14+00:00
highway looks like like earthquake today turkey imagine severe earthquake,2023-02-06 13:09:14+00:00
heart goes people affected sending lot prayers,2023-02-06 13:09:17+00:00
dear lordwe beg year started,2023-02-06 13:09:25+00:00
destruction hatay iskanderun,2023-02-06 13:09:28+00:00
must pray support brothers sisters catastrophe,2023-02-06 13:09:34+00:00
heartfelt condolences go people turkey affected earthquake stand solidarity difficult time,2023-02-06 13:09:35+00:00
road collapsed due earthquake reyhanl,2023-02-06 13:09:44+00:00
