text,date,processed_text
If you are interested in donating for the inflicted population in Turkey my Turkish friends have recommended the following   1. 2.  ,2023-02-07 13:17:30+00:00,if you are interested in donating for the inflicted population in turkey my turkish friends have recommended the following 
" Console the hearts of those who mourn, and ease the pain of bodies on the brink of death. In Your Name 🥺Carrying heavy heart... I'm with you, we may not be there but you're in our prayers 🥺🙌🏻❤️ ",2023-02-07 13:17:45+00:00, console the hearts of those who mourn and ease the pain of bodies on the brink of death in your name carrying heavy heart with you we may not be there but you are in our prayers 
🖤 We express our deep sorrow to the Turkish and Syrian populations dramatically impacted by the disastrous  🖤   ,2023-02-07 13:17:50+00:00, we express our deep sorrow to the turkish and syrian populations dramatically impacted by the disastrous 
please rt they need a help          ,2023-02-07 13:17:51+00:00,please rt they need help 
Antep    ,2023-02-07 13:18:00+00:00,antep 
"When you are unhappy with your life,Remember this picture 💔    ",2023-02-07 13:18:01+00:00,when you are unhappy with your life remember this picture 
"📢 Emergency Call     Most needed after   Food &amp; cooking &amp; kitchen utensilsDrinking waterWarm blankets, sleeping bagsPhones, power banksTahir Ortaş, Head of AKD Narlı Branch, spoke to Can TV",2023-02-07 13:18:23+00:00, emergency call most needed after food amp cooking amp kitchen utensilsdrinking waterwarm blankets sleeping bagsphones power bankstahir ortaş head of akd narlı branch spoke to can tv
We appreciate your help 🙏   ,2023-02-07 13:18:24+00:00,we appreciate your help 
"From a 44 year-long regime-made disaster in Iran, to this natural disaster in Turkey &amp; Syria..Our thoughts are with you 💔",2023-02-07 13:18:44+00:00,from year long regime made disaster in iran to this natural disaster in turkey amp syria our thoughts are with you 
A Syrian girl protects her little brother under the rubble of their home which collapsed to the ground by the earthquake yesterday.         ,2023-02-07 13:19:02+00:00, syrian girl protects her little brother under the rubble of their home which collapsed to the ground by the earthquake yesterday 
 ( M3.4 strikes 20 km SE of  ( 17 min ago. More info: ,2023-02-07 13:19:05+00:00, strikes km se of min ago more info 
